wavelength in  nm,Redshift ,velocity,Lab wavelength,c,uncenter,star cont,scentre,error,OIII wave
5568.5,-0.005093477,-1522.94964,5596.863027,32.387,0.18,5610.7,32.093,0.063,5006.9
5569.3,-0.004949101,-1479.781135,5596.863027,32.379,0.15,5610.7,32.093,0.063,
5570.1,-0.004804766,-1436.625029,5596.863027,32.08,0.057,5610.7,32.093,0.063,
5570.9,-0.004660473,-1393.481318,5596.863027,32.124,0.124,5610.7,32.093,0.063,
5571.7,-0.004516221,-1350.349996,5596.863027,32.022,0.106,5610.7,32.093,0.063,
5572.5,-0.00437201,-1307.231058,5596.863027,31.947,0.119,5610.7,32.093,0.063,
5573.3,-0.004227841,-1264.124499,5596.863027,32.191,0.101,5610.7,32.093,0.063,
5574.1,-0.004083713,-1221.030314,5596.863027,32.15,0.119,5610.7,32.093,0.063,
5574.9,-0.003939627,-1177.948496,5596.863027,32.11,0.098,5610.7,32.093,0.063,
5575.6,-0.003813585,-1140.262048,5596.863027,32.253,0.109,5610.7,32.093,0.063,
5576.3,-0.003687575,-1102.585061,5596.863027,32.099,0.127,5610.7,32.093,0.063,
5576.9,-0.003579592,-1070.298028,5596.863027,32.163,0.815,5610.7,32.093,0.063,
5577.3,-0.003507616,-1048.777199,5596.863027,32.203,0.268,5610.7,32.093,0.063,
5577.7,-0.00343565,-1027.259457,5596.863027,32.45,0.316,5610.7,32.093,0.063,
5578.1,-0.003363695,-1005.744801,5596.863027,32.637,0.199,5610.7,32.093,0.063,
5578.5,-0.00329175,-984.2332299,5596.863027,31.957,0.16,5610.7,32.093,0.063,
5578.9,-0.003219815,-962.7247438,5596.863027,32.388,0.147,5610.7,32.093,0.063,
5579.3,-0.003147891,-941.2193417,5596.863027,32.231,0.092,5610.7,32.093,0.063,
5579.7,-0.003075977,-919.717023,5596.863027,32.236,0.122,5610.7,32.093,0.063,
5580.1,-0.003004073,-898.217787,5596.863027,33.359,0.39,5610.7,32.093,0.063,
5580.5,-0.002932179,-876.721633,5596.863027,32.114,0.091,5610.7,32.093,0.063,
5580.9,-0.002860296,-855.2285604,5596.863027,32.391,0.111,5610.7,32.093,0.063,
5581.3,-0.002788423,-833.7385686,5596.863027,32.247,0.105,5610.7,32.093,0.063,
5581.7,-0.002716561,-812.2516568,5596.863027,32.26,0.087,5610.7,32.093,0.063,
5582.1,-0.002644708,-790.7678245,5596.863027,32.146,0.07,5610.7,32.093,0.063,
5582.5,-0.002572866,-769.2870708,5596.863027,32.235,0.069,5610.7,32.093,0.063,
5582.9,-0.002501035,-747.8093953,5596.863027,32.134,0.081,5610.7,32.093,0.063,
5583.3,-0.002429213,-726.3347972,5596.863027,32.067,0.102,5610.7,32.093,0.063,
5583.7,-0.002357402,-704.8632758,5596.863027,32.007,0.071,5610.7,32.093,0.063,
5584.1,-0.002285601,-683.3948305,5596.863027,32.277,0.08,5610.7,32.093,0.063,
5584.5,-0.002213811,-661.9294607,5596.863027,32.215,0.079,5610.7,32.093,0.063,
5584.9,-0.002142031,-640.4671656,5596.863027,32.266,0.071,5610.7,32.093,0.063,
5585.3,-0.002070261,-619.0079446,5596.863027,32.143,0.072,5610.7,32.093,0.063,
5585.7,-0.001998501,-597.5517971,5596.863027,32.099,0.068,5610.7,32.093,0.063,
5586.1,-0.001926752,-576.0987224,5596.863027,32.139,0.073,5610.7,32.093,0.063,
5586.5,-0.001855012,-554.6487198,5596.863027,32.112,0.079,5610.7,32.093,0.063,
5586.9,-0.001783284,-533.2017886,5596.863027,32.189,0.06,5610.7,32.093,0.063,
5587.3,-0.001711565,-511.7579283,5596.863027,32.168,0.081,5610.7,32.093,0.063,
5587.7,-0.001639857,-490.3171382,5596.863027,32.241,0.061,5610.7,32.093,0.063,
5588.1,-0.001568159,-468.8794175,5596.863027,32.236,0.073,5610.7,32.093,0.063,
5588.5,-0.001496471,-447.4447657,5596.863027,32.265,0.076,5610.7,32.093,0.063,
5588.9,-0.001424793,-426.013182,5596.863027,32.314,0.071,5610.7,32.093,0.063,
5589.3,-0.001353126,-404.5846659,5596.863027,32.358,0.07,5610.7,32.093,0.063,
5589.7,-0.001281469,-383.1592166,5596.863027,32.27,0.078,5610.7,32.093,0.063,
5590.1,-0.001209822,-361.7368335,5596.863027,32.39,0.06,5610.7,32.093,0.063,
5590.5,-0.001138186,-340.317516,5596.863027,32.224,0.069,5610.7,32.093,0.063,
5590.9,-0.001066559,-318.9012633,5596.863027,32.351,0.113,5610.7,32.093,0.063,
5591.3,-0.000994943,-297.4880749,5596.863027,32.443,0.078,5610.7,32.093,0.063,
5591.7,-0.000923338,-276.07795,5596.863027,32.274,0.073,5610.7,32.093,0.063,
5592.1,-0.000851742,-254.670888,5596.863027,32.345,0.098,5610.7,32.093,0.063,
