wavelength in  nm,Redshift ,velocity,Lab wavelength,c,uncenter,width,error width,peak flux,error pf,star cont,scentre,error,Obs wavelength of OIII
5725.9,-0.004178135,-1252.573362,5749.92396,36.291,0.016,,,,,5618.5,36.723,0.053,5006.9
5730.7,-0.003343342,-1002.308716,5749.92396,36.229,0.006,,,,,5618.5,36.723,0.053,
5734.3,-0.002717246,-814.6098573,5749.92396,36.098,0.006,,,,,5618.5,36.723,0.053,
5736.1,-0.002404199,-720.7607277,5749.92396,36.028,0.012,,,,,5618.5,36.723,0.053,
5737.3,-0.0021955,-658.1943415,5749.92396,35.92,0.011,,,,,5618.5,36.723,0.053,
5738.2,-0.002038977,-611.2699266,5749.92396,35.863,0.02,,,,,5618.5,36.723,0.053,
5738.8,-0.001934627,-579.9865836,5749.92396,35.819,0.013,,,,,5618.5,36.723,0.053,
5739.4,-0.001830278,-548.7035404,5749.92396,35.831,0.009,,,,,5618.5,36.723,0.053,
5740,-0.001725929,-517.4204972,5749.92396,35.831,0.013,,,,,5618.5,36.723,0.053,
5740.6,-0.00162158,-486.137454,5749.92396,35.766,0.015,,,,,5618.5,36.723,0.053,
5741.2,-0.00151723,-454.8541111,5749.92396,35.784,0.012,,,,,5618.5,36.723,0.053,
5741.8,-0.001412881,-423.5710679,5749.92396,35.812,0.009,,,,,5618.5,36.723,0.053,
5742.4,-0.001308532,-392.2880247,5749.92396,35.879,0.015,,,,,5618.5,36.723,0.053,
5743,-0.001204183,-361.0049815,5749.92396,35.872,0.012,,,,,5618.5,36.723,0.053,
5743.6,-0.001099834,-329.7219383,5749.92396,35.937,0.012,,,,,5618.5,36.723,0.053,
5744.2,-0.000995484,-298.4385953,5749.92396,35.927,0.015,,,,,5618.5,36.723,0.053,
5744.8,-0.000891135,-267.1555521,5749.92396,35.981,0.01,,,,,5618.5,36.723,0.053,
5745.4,-0.000786786,-235.8725089,5749.92396,36.03,0.013,,,,,5618.5,36.723,0.053,
5746,-0.000682437,-204.5894657,5749.92396,36.105,0.017,,,,,5618.5,36.723,0.053,
5746.6,-0.000578088,-173.3064225,5749.92396,36.123,0.024,,,,,5618.5,36.723,0.053,
5747.2,-0.000473738,-142.0230795,5749.92396,36.225,0.027,,,,,5618.5,36.723,0.053,
5747.8,-0.000369389,-110.7400363,5749.92396,36.453,0.014,,,,,5618.5,36.723,0.053,
5748.4,-0.00026504,-79.45699307,5749.92396,36.544,0.017,,,,,5618.5,36.723,0.053,
5749,-0.000160691,-48.17394987,5749.92396,36.58,0.024,,,,,5618.5,36.723,0.053,
5749.6,-5.63E-05,-16.87831539,5749.92396,36.682,0.018,,,,,5618.5,36.723,0.053,
5750.2,4.80E-05,14.39003798,5749.92396,36.88,0.026,,,,,5618.5,36.723,0.053,
5750.8,0.000152357,45.67547952,5749.92396,36.959,0.038,,,,,5618.5,36.723,0.053,
5751.4,0.000256706,76.95852272,5749.92396,37.136,0.028,,,,,5618.5,36.723,0.053,
5752,0.000361055,108.2415659,5749.92396,37.322,0.03,,,,,5618.5,36.723,0.053,
5752.6,0.000465404,139.5246091,5749.92396,37.522,0.016,,,,,5618.5,36.723,0.053,
5753.2,0.000569754,170.8079521,5749.92396,37.815,0.013,,,,,5618.5,36.723,0.053,
5753.8,0.000674103,202.0909953,5749.92396,37.926,0.015,,,,,5618.5,36.723,0.053,
5754.4,0.000778452,233.3740385,5749.92396,37.953,0.01,,,,,5618.5,36.723,0.053,
5755,0.000882801,264.6570817,5749.92396,37.766,0.017,,,,,5618.5,36.723,0.053,
5755.6,0.00098715,295.9401249,5749.92396,37.635,0.016,,,,,5618.5,36.723,0.053,
5756.2,0.0010915,327.2234679,5749.92396,37.754,0.02,,,,,5618.5,36.723,0.053,
5756.8,0.001195849,358.5065111,5749.92396,37.651,0.011,,,,,5618.5,36.723,0.053,
5757.4,0.001300198,389.7895543,5749.92396,37.75,0.015,,,,,5618.5,36.723,0.053,
5758,0.001404547,421.0725975,5749.92396,37.669,0.018,,,,,5618.5,36.723,0.053,
5758.6,0.001508896,452.3556407,5749.92396,37.728,0.013,,,,,5618.5,36.723,0.053,
5759.2,0.001613246,483.6389837,5749.92396,37.7,0.014,,,,,5618.5,36.723,0.053,
5759.8,0.001717595,514.9220269,5749.92396,37.704,0.011,,,,,5618.5,36.723,0.053,
5760.7,0.001874119,561.8467416,5749.92396,37.687,0.016,,,,,5618.5,36.723,0.053,
5761.9,0.002082817,624.412828,5749.92396,37.714,0.012,,,,,5618.5,36.723,0.053,
5763.7,0.002395865,718.2622574,5749.92396,37.624,0.023,,,,,5618.5,36.723,0.053,
5766.1,0.002813262,843.39473,5749.92396,37.734,0.008,,,,,5618.5,36.723,0.053,
5768.5,0.003230658,968.5269028,5749.92396,37.824,0.052,,,,,5618.5,36.723,0.053,
