wavelength in  nm,Redshift ,velocity,Lab wavelength,c,uncenter,width,error width,peak flux,error pf,star cont,scentre,error,OIII wave
5670.1,-0.002055703,-614.6551288,5681.780051,35.695,0.063,,,,,5719.9,35.244,0.096,5006.9
5671.3,-0.001844501,-551.505905,5681.780051,35.428,0.062,,,,,5719.9,35.244,0.096,
5672.5,-0.0016333,-488.3566812,5681.780051,35.354,0.04,,,,,5719.9,35.244,0.096,
5673.7,-0.001422099,-425.2074574,5681.780051,35.3,0.03,,,,,5719.9,35.244,0.096,
5674.9,-0.001210897,-362.0582336,5681.780051,35.209,0.024,,,,,5719.9,35.244,0.096,
5676.1,-0.000999696,-298.9090098,5681.780051,35.1,0.014,,,,,5719.9,35.244,0.096,
5677.3,-0.000788494,-235.759786,5681.780051,35.091,0.031,,,,,5719.9,35.244,0.096,
5678.2,-0.000630093,-188.3978682,5681.780051,34.984,0.03,,,,,5719.9,35.244,0.096,
5678.8,-0.000524492,-156.8232563,5681.780051,34.89,0.022,,,,,5719.9,35.244,0.096,
5679.4,-0.000418892,-125.2486444,5681.780051,34.798,0.019,,,,,5719.9,35.244,0.096,
5680,-0.000313291,-93.67403247,5681.780051,34.759,0.015,,,,,5719.9,35.244,0.096,
5680.6,-0.00020769,-62.09942057,5681.780051,34.71,0.023,,,,,5719.9,35.244,0.096,
5681.2,-0.00010209,-30.52480868,5681.780051,34.854,0.015,,,,,5719.9,35.244,0.096,
5681.8,3.51E-06,1.049803221,5681.780051,35.015,0.015,,,,,5719.9,35.244,0.096,
5682.4,0.000109112,32.62441512,5681.780051,35.122,0.014,,,,,5719.9,35.244,0.096,
5683,0.000214712,64.19902702,5681.780051,35.237,0.021,,,,,5719.9,35.244,0.096,
5683.6,0.000320313,95.77363892,5681.780051,35.257,0.013,,,,,5719.9,35.244,0.096,
5684.2,0.000425914,127.3482508,5681.780051,35.207,0.015,,,,,5719.9,35.244,0.096,
5684.8,0.000531515,158.9228627,5681.780051,35.198,0.023,,,,,5719.9,35.244,0.096,
5685.4,0.000637115,190.4974746,5681.780051,35.176,0.027,,,,,5719.9,35.244,0.096,
5686,0.000742716,222.0720865,5681.780051,35.154,0.026,,,,,5719.9,35.244,0.096,
5686.9,0.000901117,269.4340044,5681.780051,35.004,0.021,,,,,5719.9,35.244,0.096,
5688.4,0.001165119,348.3705341,5681.780051,34.772,0.029,,,,,5719.9,35.244,0.096,
5689.9,0.00142913,427.3097515,5681.78,34.667,0.05,,,,,5719.9,35.244,0.096,
5690.1,0.00146433,437.8346222,5681.78,34.592,0.07,,,,,5719.9,35.244,0.096,
