wavelength in  nm,Redshift ,velocity,Lab wavelength,c,uncenter,width,error width,peak flux,error pf,star cont,scentre,error,OIII wave
5649.1,-0.003829245,-1144.944268,5670.81494,34.022,0.031,,,,,5898.4,34.355,0.074,5006.9
5652.1,-0.003300221,-986.7659444,5670.81494,34.117,0.024,,,,,5898.4,34.355,0.074,
5653.9,-0.002982806,-891.8589503,5670.81494,34.047,0.021,,,,,5898.4,34.355,0.074,
5655.1,-0.002771196,-828.587621,5670.81494,34.078,0.026,,,,,5898.4,34.355,0.074,
5656.3,-0.002559586,-765.3162916,5670.81494,34.121,0.025,,,,,5898.4,34.355,0.074,
5657.2,-0.002400879,-717.8627945,5670.81494,34.079,0.026,,,,,5898.4,34.355,0.074,
5657.8,-0.002295074,-686.2271298,5670.81494,34.085,0.025,,,,,5898.4,34.355,0.074,
5658.4,-0.002189269,-654.5914651,5670.81494,34.136,0.025,,,,,5898.4,34.355,0.074,
5659,-0.002083464,-622.9558004,5670.81494,34.111,0.024,,,,,5898.4,34.355,0.074,
5659.6,-0.001977659,-591.3201357,5670.81494,34.072,0.025,,,,,5898.4,34.355,0.074,
5660.2,-0.001871854,-559.684471,5670.81494,34.11,0.026,,,,,5898.4,34.355,0.074,
5660.8,-0.00176605,-528.0488063,5670.81494,34.076,0.021,,,,,5898.4,34.355,0.074,
5661.4,-0.001660245,-496.4131416,5670.81494,34.083,0.021,,,,,5898.4,34.355,0.074,
5662,-0.00155444,-464.7774769,5670.81494,34.084,0.019,,,,,5898.4,34.355,0.074,
5662.6,-0.001448635,-433.1418122,5670.81494,34.115,0.019,,,,,5898.4,34.355,0.074,
5663.2,-0.00134283,-401.5061475,5670.81494,34.155,0.023,,,,,5898.4,34.355,0.074,
5663.8,-0.001237025,-369.8704828,5670.81494,34.156,0.022,,,,,5898.4,34.355,0.074,
5664.4,-0.00113122,-338.2348182,5670.81494,34.132,0.023,,,,,5898.4,34.355,0.074,
5665,-0.001025415,-306.5991535,5670.81494,34.149,0.022,,,,,5898.4,34.355,0.074,
5665.6,-0.00091961,-274.9634888,5670.81494,34.138,0.024,,,,,5898.4,34.355,0.074,
5666.2,-0.000813805,-243.3278241,5670.81494,34.137,0.024,,,,,5898.4,34.355,0.074,
5666.8,-0.000708001,-211.6921594,5670.81494,34.117,0.024,,,,,5898.4,34.355,0.074,
5667.4,-0.000602196,-180.0564947,5670.81494,34.104,0.027,,,,,5898.4,34.355,0.074,
5668,-0.000496391,-148.42083,5670.81494,34.092,0.027,,,,,5898.4,34.355,0.074,
5668.6,-0.000390586,-116.7851653,5670.81494,34.049,0.029,,,,,5898.4,34.355,0.074,
5669.2,-0.000284781,-85.14950058,5670.81494,33.945,0.026,,,,,5898.4,34.355,0.074,
5669.8,-0.000178976,-53.51383588,5670.81494,33.88,0.023,,,,,5898.4,34.355,0.074,
5670.4,-7.32E-05,-21.87817118,5670.81494,33.988,0.024,,,,,5898.4,34.355,0.074,
5671,3.26E-05,9.757493515,5670.81494,34.167,0.023,,,,,5898.4,34.355,0.074,
5671.6,0.000138439,41.39315821,5670.81494,34.396,0.024,,,,,5898.4,34.355,0.074,
5672.2,0.000244244,73.02882291,5670.81494,34.632,0.023,,,,,5898.4,34.355,0.074,
5672.8,0.000350048,104.6644876,5670.81494,34.585,0.022,,,,,5898.4,34.355,0.074,
5673.4,0.000455853,136.3001523,5670.81494,34.471,0.03,,,,,5898.4,34.355,0.074,
5674,0.000561658,167.935817,5670.81494,34.511,0.029,,,,,5898.4,34.355,0.074,
5674.6,0.000667463,199.5714817,5670.81494,34.493,0.025,,,,,5898.4,34.355,0.074,
5675.2,0.000773268,231.2071464,5670.81494,34.398,0.029,,,,,5898.4,34.355,0.074,
5675.8,0.000879073,262.8428111,5670.81494,34.336,0.029,,,,,5898.4,34.355,0.074,
5676.4,0.000984878,294.4784758,5670.81494,34.296,0.032,,,,,5898.4,34.355,0.074,
5677,0.001090683,326.1141405,5670.81494,34.309,0.031,,,,,5898.4,34.355,0.074,
5677.9,0.00124939,373.5676375,5670.81494,34.589,0.024,,,,,5898.4,34.355,0.074,
5679.7,0.001566805,468.4746316,5670.81494,34.306,0.029,,,,,5898.4,34.355,0.074,
5682.1,0.001990024,595.0172904,5670.81494,34.341,0.034,,,,,5898.4,34.355,0.074,
