wavelength in  nm,Redshift ,velocity,Lab wavelength,c,uncenter,width,error width,peak flux,error pf,star cont,scentre,error,OIII wave
5739.1,-0.005515266,-1649.064581,5770.752664,18.736,0.036,,,,,5831.5,18.298,0.078,5006.9
5742.7,-0.004884926,-1460.592846,5770.752664,18.629,0.033,,,,,5831.5,18.298,0.078,
5745.1,-0.004465138,-1335.076245,5770.752664,18.744,0.037,,,,,5831.5,18.298,0.078,
5746.9,-0.004150527,-1241.007593,5770.752664,18.793,0.038,,,,,5831.5,18.298,0.078,
5748.1,-0.003940896,-1178.327889,5770.752664,18.74,0.046,,,,,5831.5,18.298,0.078,
5749.3,-0.003731352,-1115.674349,5770.752664,18.789,0.042,,,,,5831.5,18.298,0.078,
5750.5,-0.003521896,-1053.046959,5770.752664,18.836,0.041,,,,,5831.5,18.298,0.078,
5751.7,-0.003312527,-990.4457006,5770.752664,18.879,0.041,,,,,5831.5,18.298,0.078,
5752.6,-0.003155558,-943.5118965,5770.752664,18.898,0.048,,,,,5831.5,18.298,0.078,
5753.2,-0.003050939,-912.2308517,5770.752664,18.778,0.033,,,,,5831.5,18.298,0.078,
5753.8,-0.002946342,-880.9563308,5770.752664,18.749,0.047,,,,,5831.5,18.298,0.078,
5754.4,-0.002841767,-849.6883317,5770.752664,18.845,0.05,,,,,5831.5,18.298,0.078,
5755,-0.002737214,-818.4268525,5770.752664,18.818,0.035,,,,,5831.5,18.298,0.078,
5755.6,-0.002632682,-787.171891,5770.752664,18.856,0.043,,,,,5831.5,18.298,0.078,
5756.2,-0.002528172,-755.9234453,5770.752664,18.837,0.037,,,,,5831.5,18.298,0.078,
5756.8,-0.002423684,-724.6815133,5770.752664,18.941,0.033,,,,,5831.5,18.298,0.078,
5757.4,-0.002319218,-693.446093,5770.752664,18.897,0.039,,,,,5831.5,18.298,0.078,
5758,-0.002214773,-662.2171824,5770.752664,18.806,0.044,,,,,5831.5,18.298,0.078,
5758.6,-0.00211035,-630.9947793,5770.752664,18.922,0.042,,,,,5831.5,18.298,0.078,
5759.2,-0.002005949,-599.7788818,5770.752664,18.727,0.042,,,,,5831.5,18.298,0.078,
5759.8,-0.00190157,-568.5694878,5770.752664,18.871,0.049,,,,,5831.5,18.298,0.078,
5760.4,-0.001797213,-537.3665954,5770.752664,18.894,0.044,,,,,5831.5,18.298,0.078,
5761,-0.001692877,-506.1702024,5770.752664,18.967,0.043,,,,,5831.5,18.298,0.078,
5761.6,-0.001588563,-474.9803069,5770.752664,18.888,0.024,,,,,5831.5,18.298,0.078,
5762.2,-0.001484271,-443.7969067,5770.752664,18.973,0.032,,,,,5831.5,18.298,0.078,
5762.8,-0.00138,-412.62,5770.752664,19.008,0.03,,,,,5831.5,18.298,0.078,
5763.4,-0.001275751,-381.4495846,5770.752664,18.831,0.033,,,,,5831.5,18.298,0.078,
5764,-0.001171524,-350.2856586,5770.752664,18.865,0.063,,,,,5831.5,18.298,0.078,
5764.6,-0.001067318,-319.1282198,5770.752664,18.844,0.049,,,,,5831.5,18.298,0.078,
5765.2,-0.000963135,-287.9772664,5770.752664,18.726,0.081,,,,,5831.5,18.298,0.078,
5765.8,-0.000858973,-256.8327961,5770.752664,18.892,0.057,,,,,5831.5,18.298,0.078,
5766.4,-0.000754263,-225.524574,5770.752664,19.175,0.025,,,,,5831.5,18.298,0.078,
5767,-0.000650713,-194.5632974,5770.752664,19.044,0.054,,,,,5831.5,18.298,0.078,
5767.9,-0.000494576,-147.8781768,5770.752664,18.909,0.054,,,,,5831.5,18.298,0.078,
5769.7,-0.000182447,-54.55162937,5770.752664,19.195,0.045,,,,,5831.5,18.298,0.078,
