wavelength in  nm,Redshift ,velocity,Lab wavelength,c,uncenter,width,error width,peak flux,error pf,star cont,scentre,error,OIII wave
5327.927,-0.0037198,-1112.220246,5347.819821,33.702,0.282,,,,,5404.1,34.239,0.038,5006.9
5330.3,-0.003276068,-979.5443105,5347.819821,32.406,0.145,,,,,5404.1,34.239,0.038,
5332.1,-0.002939482,-878.9051681,5347.819821,32.937,0.125,,,,,5404.1,34.239,0.038,
5333.027,-0.002766141,-827.0760099,5347.819821,33.22,0.13,,,,,5404.1,34.239,0.038,
5333.627,-0.002653945,-793.5296291,5347.819821,33.077,0.124,,,,,5404.1,34.239,0.038,
5334.227,-0.00254175,-759.9832483,5347.819821,33.171,0.141,,,,,5404.1,34.239,0.038,
5334.827,-0.002429555,-726.4368676,5347.819821,33.408,0.154,,,,,5404.1,34.239,0.038,
5335.427,-0.002317359,-692.8904868,5347.819821,33.527,0.13,,,,,5404.1,34.239,0.038,
5336.027,-0.002205164,-659.344106,5347.819821,33.212,0.003,,,,,5404.1,34.239,0.038,
5336.627,-0.002092969,-625.7977252,5347.819821,33.722,0.155,,,,,5404.1,34.239,0.038,
5337.227,-0.001980774,-592.2513445,5347.819821,33.999,0.151,,,,,5404.1,34.239,0.038,
5337.827,-0.001868578,-558.7049637,5347.819821,33.22,0.174,,,,,5404.1,34.239,0.038,
5338.427,-0.001756383,-525.1585829,5347.819821,33.919,0.183,,,,,5404.1,34.239,0.038,
5339.327,-0.00158809,-474.8390118,5347.819821,33.21,0.124,,,,,5404.1,34.239,0.038,
5340.527,-0.0013637,-407.7462502,5347.819821,33.321,0.145,,,,,5404.1,34.239,0.038,
5341.827,-0.00112061,-335.0624252,5347.819821,33.767,0.119,,,,,5404.1,34.239,0.038,
5342.927,-0.000914919,-273.5607272,5347.819821,33.44,0.184,,,,,5404.1,34.239,0.038,
5344.127,-0.000690528,-206.4679656,5347.819821,33.566,0.134,,,,,5404.1,34.239,0.038,
5345.027,-0.000522235,-156.1483945,5347.819821,34.332,0.225,,,,,5404.1,34.239,0.038,
5345.627,-0.00041004,-122.6020137,5347.819821,33.868,0.185,,,,,5404.1,34.239,0.038,
5346.227,-0.000297845,-89.05563294,5347.819821,33.659,0.148,,,,,5404.1,34.239,0.038,
5346.827,-0.00018565,-55.50925217,5347.819821,34.465,0.178,,,,,5404.1,34.239,0.038,
5347.427,-7.35E-05,-21.9628714,5347.819821,33.549,0.386,,,,,5404.1,34.239,0.038,
5348.027,3.87E-05,11.58350937,5347.819821,26.038,0.283,,,,,5404.1,34.239,0.038,
5348.627,0.000150936,45.12989014,5347.819821,29.227,0.012,,,,,5404.1,34.239,0.038,
5349.227,0.000263131,78.67627091,5347.819821,30.046,0.182,,,,,5404.1,34.239,0.038,
5349.827,0.000375327,112.2226517,5347.819821,29.388,0.641,,,,,5404.1,34.239,0.038,
5350.727,0.000543619,162.5422228,5347.819821,29.713,0.873,,,,,5404.1,34.239,0.038,
5351.927,0.00076801,229.6349844,5347.819821,28.45,0.64,,,,,5404.1,34.239,0.038,
