wavelength in  nm,Redshift ,velocity,Lab wavelength,c,uncenter,width,error width,peak flux,error pf,star cont,scentre,error,OIII wave
5521.7,-0.005305212,-1586.258509,5551.15003,32.668,0.113,,,,,5428.7,32.49,0.069,5006.9
5524,-0.004890884,-1462.374269,5551.15003,32.809,0.07,,,,,5428.7,32.49,0.069,
5526.5,-0.004440527,-1327.717487,5551.15003,32.655,0.088,,,,,5428.7,32.49,0.069,
5527.1,-0.004332441,-1295.39986,5551.15003,32.39,0.088,,,,,5428.7,32.49,0.069,
5528.3,-0.00411627,-1230.764604,5551.15003,32.441,0.058,,,,,5428.7,32.49,0.069,
5529.5,-0.003900098,-1166.129349,5551.15003,32.392,0.047,,,,,5428.7,32.49,0.069,
5530.7,-0.003683927,-1101.494093,5551.15003,32.356,0.093,,,,,5428.7,32.49,0.069,
5531.9,-0.003467755,-1036.858838,5551.15003,32.337,0.073,,,,,5428.7,32.49,0.069,
5533.1,-0.003251584,-972.2235827,5551.15003,32.37,0.042,,,,,5428.7,32.49,0.069,
5534,-0.003089455,-923.7471411,5551.15003,32.379,0.058,,,,,5428.7,32.49,0.069,
5534.6,-0.00298137,-891.4295134,5551.15003,32.343,0.021,,,,,5428.7,32.49,0.069,
5535.2,-0.002873284,-859.1118857,5551.15003,32.285,0.053,,,,,5428.7,32.49,0.069,
5535.8,-0.002765198,-826.794258,5551.15003,32.434,0.05,,,,,5428.7,32.49,0.069,
5536.4,-0.002657112,-794.4766303,5551.15003,32.276,0.043,,,,,5428.7,32.49,0.069,
5537,-0.002549027,-762.1590026,5551.15003,32.384,0.041,,,,,5428.7,32.49,0.069,
5537.6,-0.002440941,-729.8413749,5551.15003,32.249,0.048,,,,,5428.7,32.49,0.069,
5538.2,-0.002332855,-697.5237472,5551.15003,32.421,0.037,,,,,5428.7,32.49,0.069,
5538.8,-0.00222477,-665.2061195,5551.15003,32.37,0.054,,,,,5428.7,32.49,0.069,
5539.4,-0.002116684,-632.8884918,5551.15003,32.396,0.045,,,,,5428.7,32.49,0.069,
5540,-0.002008598,-600.5708641,5551.15003,32.393,0.042,,,,,5428.7,32.49,0.069,
5540.6,-0.001900512,-568.2532363,5551.15003,32.435,0.04,,,,,5428.7,32.49,0.069,
5541.2,-0.001792427,-535.9356086,5551.15003,32.372,0.043,,,,,5428.7,32.49,0.069,
5541.8,-0.001684341,-503.6179809,5551.15003,32.295,0.042,,,,,5428.7,32.49,0.069,
5542.4,-0.001576255,-471.3003532,5551.15003,32.406,0.035,,,,,5428.7,32.49,0.069,
5543,-0.00146817,-438.9827255,5551.15003,32.256,0.041,,,,,5428.7,32.49,0.069,
5543.6,-0.001360084,-406.6650978,5551.15003,32.295,0.035,,,,,5428.7,32.49,0.069,
5544.2,-0.001251998,-374.3474701,5551.15003,32.388,0.035,,,,,5428.7,32.49,0.069,
5544.8,-0.001143913,-342.0298424,5551.15003,32.241,0.032,,,,,5428.7,32.49,0.069,
5545.4,-0.001035827,-309.7122147,5551.15003,32.275,0.033,,,,,5428.7,32.49,0.069,
5546,-0.000927741,-277.394587,5551.15003,32.306,0.031,,,,,5428.7,32.49,0.069,
5546.6,-0.000819655,-245.0769593,5551.15003,32.327,0.026,,,,,5428.7,32.49,0.069,
5547.2,-0.00071157,-212.7593316,5551.15003,32.286,0.035,,,,,5428.7,32.49,0.069,
5547.8,-0.000603484,-180.4417039,5551.15003,32.271,0.031,,,,,5428.7,32.49,0.069,
5548.4,-0.000495398,-148.1240762,5551.15003,32.291,0.017,,,,,5428.7,32.49,0.069,
5549.3,-0.00033327,-99.64763464,5551.15003,32.241,0.033,,,,,5428.7,32.49,0.069,
5550.5,-0.000117098,-35.01237923,5551.15003,32.2,0.029,,,,,5428.7,32.49,0.069,
5551.7,9.91E-05,29.62287618,5551.15003,32.218,0.031,,,,,5428.7,32.49,0.069,
5552.9,0.000315245,94.25813159,5551.15003,32.22,0.026,,,,,5428.7,32.49,0.069,
5554.3,0.000567445,169.6659296,5551.15003,34.938,0.057,,,,,5517.7,34.6,0.077,
5556.7,0.000999787,298.9364404,5551.15003,34.875,0.046,,,,,5517.7,34.6,0.077,
5560.3,0.001648302,492.8422066,5551.15003,35.022,0.062,,,,,5517.7,34.6,0.077,
